0x00 0x7000 0xe4a3 => 0x7000 0xa033
0x00 0x6000 0xc067 => 0x6000 0x87ee
0x00 0x0 0x9fbb => 0x0 0x4253
0x00 0x0 0x84a7 => 0x0 0x3736
0x00 0x0 0xdcdb => 0x0 0x5c25
0x5f(_) 0x0 0xb84b => 0x7bb1 0x7fba
0x5f(_) 0x7620 0xf75f => 0xccba 0xcfc4
0x73(s) 0x2e80 0xf13f => 0xbc8d 0xbd87
0x74(t) 0x4680 0xc3ff => 0xa2ba 0xa391
0x75(u) 0x5d00 0xc8ff => 0xad24 0xad7f
0x62(b) 0x4800 0xffff => 0xc7b1 0xc84d
0x5f(_) 0x3100 0xcdff => 0x9951 0x9d3e
0x68(h) 0x2a20 0xa7df => 0x8332 0x8367
0x65(e) 0x6400 0xcfff => 0xafa7 0xb002
0x6c(l) 0x2700 0x82ff => 0x68dd 0x6904
0x70(p) 0x3a00 0x89ff => 0x73d8 0x73f9
0x65(e) 0x6000 0xe7ff => 0xbecb 0xbf77
0x72(r) 0x4b00 0xf7ff => 0xc8d1 0xc919
0x00 0x2200 0xb3ff => 0x2200 0x5dbe
0x00 0x800 0xf6fb => 0x800 0x6a07
0x00 0x1000 0xd40f => 0x1000 0x609d
0x5f(_) 0x2000 0xc13b => 0x8a2a 0x8e65
0x5f(_) 0x4540 0xccbf => 0x9e53 0xa218
0x54(T) 0x4a60 0xc31f => 0x9579 0x96da
0x45(E) 0x3c80 0xed7f => 0xa32b 0xa4e7
0x58(X) 0x1580 0xf3ff => 0xa3c8 0xa53b
0x54(T) 0x7200 0xceff => 0xabb5 0xacea
0x00 0x5a80 0xf57f => 0x5a80 0x99c1
0x00 0x3500 0xb383 => 0x3500 0x68c0
0x00 0x6a00 0xd181 => 0x6a00 0x9470
0x00 0x2800 0xd1c3 => 0x2800 0x6dc5
0x00 0x5000 0xdb8b => 0x5000 0x897b
0x00 0x2000 0x92f7 => 0x2000 0x4f77
0x00 0x0 0xbddf => 0x0 0x4e93
0x00 0x0 0x9d27 => 0x0 0x412e
0x00 0x0 0x825d => 0x0 0x3631
0x00 0x0 0xd8c7 => 0x0 0x5a52
0xbc 0x0 0xb4a5 => 0x9f42 0x9f8b
0x1d 0x400 0x97ff => 0x4e79 0x4f2d
0x00 0x3c80 0x96ff => 0x3c80 0x622b
0x00 0x7900 0xc457 => 0x7900 0x986d
0x01 0x6400 0xe1b7 => 0x9890 0x99f6
0x00 0x4800 0xfb7f => 0x4800 0x92ee
0x00 0x1000 0xa5dd => 0x1000 0x4eb2
0x00 0x2000 0x9d65 => 0x2000 0x5493
0xd8 0x0 0xd24f => 0xc35c 0xc3b0
0x00 0x3800 0xe1ff => 0x3800 0x7f52
0x00 0x7000 0xfea5 => 0x7000 0xabf9
0x00 0x6000 0xd7f3 => 0x6000 0x928a
0x00 0x0 0xca2b => 0x0 0x555f
0x00 0x0 0xaabf => 0x0 0x4841
0x00 0x0 0x9083 => 0x0 0x3d49
0x00 0x0 0xf527 => 0x0 0x6830
0xbc 0x0 0xd061 => 0xb7ad 0xb852
0x1d 0x2d00 0xd2ff => 0x81cf 0x82d7
0x00 0x6780 0xebff => 0x6780 0x9fc0
0x00 0x1e00 0xff03 => 0x1e00 0x7dbb
0x02 0x3c00 0xfb77 => 0x9002 0x90e5
0x00 0x200 0xe5ff => 0x200 0x630e
0x00 0x400 0xc61d => 0x400 0x56cd
